Freshwater,Marine,Origin
108,368,Alaskan
131,355,Alaskan
105,469,Alaskan
86,506,Alaskan
99,402,Alaskan
87,423,Alaskan
94,440,Alaskan
117,489,Alaskan
79,432,Alaskan
99,403,Alaskan
114,428,Alaskan
123,372,Alaskan
123,372,Alaskan
109,420,Alaskan
112,394,Alaskan
104,407,Alaskan
111,422,Alaskan
126,423,Alaskan
105,434,Alaskan
119,474,Alaskan
114,396,Alaskan
100,470,Alaskan
84,399,Alaskan
102,429,Alaskan
101,469,Alaskan
85,444,Alaskan
109,397,Alaskan
106,442,Alaskan
82,431,Alaskan
118,381,Alaskan
105,388,Alaskan
121,403,Alaskan
85,451,Alaskan
83,453,Alaskan
53,427,Alaskan
95,411,Alaskan
76,442,Alaskan
95,426,Alaskan
87,402,Alaskan
70,397,Alaskan
84,511,Alaskan
91,469,Alaskan
74,451,Alaskan
101,474,Alaskan
80,398,Alaskan
95,433,Alaskan
92,404,Alaskan
99,481,Alaskan
94,491,Alaskan
87,480,Alaskan
129,420,Canadian
148,371,Canadian
179,407,Canadian
152,381,Canadian
166,377,Canadian
124,389,Canadian
156,419,Canadian
131,345,Canadian
140,362,Canadian
144,345,Canadian
149,393,Canadian
108,330,Canadian
135,355,Canadian
170,386,Canadian
152,301,Canadian
153,397,Canadian
152,301,Canadian
136,438,Canadian
122,306,Canadian
148,383,Canadian
90,385,Canadian
145,337,Canadian
123,364,Canadian
145,376,Canadian
115,354,Canadian
134,383,Canadian
117,355,Canadian
126,345,Canadian
118,379,Canadian
120,369,Canadian
153,403,Canadian
150,354,Canadian
154,390,Canadian
155,349,Canadian
109,325,Canadian
117,344,Canadian
128,400,Canadian
144,403,Canadian
163,370,Canadian
145,355,Canadian
133,375,Canadian
128,383,Canadian
123,349,Canadian
144,373,Canadian
140,388,Canadian
150,339,Canadian
124,341,Canadian
125,346,Canadian
153,352,Canadian
108,339,Canadian
